respondent_id,Completed,Termination_Point,A1_purchased_snack,A2_gender,A3_age,A4_province,TV_Channel_A,TV_Channel_B,TV_Channel_C,TV_Channel_D,TV_Channel_E,A6_PotatoChips,A6_Popcorn,A6_Pretzels,A6_Chocolate,A6_GranolaBars,A6_FruitSlices,Exposed_Flag,B1_Unaided_BrandAwareness,B2_Aided_BrandAwareness,B2a_Overall_Impression,B3_Familiarity_BrandX,B4_Consideration_BrandX,B5_Recommendation_BrandX,C1_Ad_Recall_Pre,C2_Ad_Source,C3_Ad_Recall_Post,C4_Ad_Enjoyment,C5_Ad_Attitudes,C6_Key_Message_Unaided,C7_Key_Message_Aided,D1_Grocery_Shopper_Role,D2_Snack_Purchase_Frequency,D3_Weekly_Snack_Spend,D4_Employment_Status,D5_Education_Level,D6_Marital_Status,D7_Children,D8_Children_Age,D9_Community_Type,D10_Household_Income,Completion_Time
506,1,Completed,1,1,5,Alberta,5,5,5,2,1,4,3,4,4,2,2,0,"ChexMix, Zapps, MissVickie","1, 6","Brand X:7, Kettle Brand:7",2,4,7,,,,,,,,1,1,1,4,1,1,1,4,1,7,42.5
715,1,Completed,1,1,6,Ontario,5,5,2,1,3,1,4,3,3,3,4,0,"Cheetos, Ruffles","2, 6","Lay's:3, Kettle Brand:3",4,4,5,,,,,,,,1,4,1,1,1,2,1,3,1,4,27.7
973,1,Completed,1,1,5,British Columbia,5,5,2,2,5,3,4,2,4,3,2,0,Lays,"1, 2, 5, 7","Brand X:2, Lay's:8, Utz:5, Herr's:8",5,5,6,,,,,,,,1,1,2,6,2,2,2,,1,5,24
667,1,Completed,1,1,5,Saskatchewan,5,5,5,3,1,4,3,2,4,3,1,0,"PopChips, Pringles, Hawaiian","5, 6, 7","Utz:6, Kettle Brand:5, Herr's:1",4,4,9,,,,,,,,1,1,2,8,3,2,2,,1,3,44.9
279,1,Completed,1,2,3,Alberta,1,2,3,2,4,2,4,3,3,4,4,1,"Fritos, Ruffles","3, 5, 6","Pringles:4, Utz:10, Kettle Brand:1",5,5,8,1,3,1,3,"5, 4, 5, 4, 4, 2",Not very memorable,1,2,2,3,1,1,2,2,,3,2,20
14,1,Completed,1,2,2,Ontario,3,2,4,4,2,2,3,4,3,3,4,1,"BrandX, Pringles","2, 4","Lay's:5, Ruffles:3",5,5,7,1,8,1,5,"4, 4, 5, 5, 4, 5",The ad was entertaining and memorable,6,1,2,2,1,3,3,1,2,1,4,14.9
246,1,Completed,1,2,5,Ontario,3,3,1,5,2,2,2,4,2,1,1,1,"Lays, BrandX","1, 3, 7","Brand X:4, Pringles:3, Herr's:4",3,5,8,1,2,1,5,"4, 4, 5, 5, 2, 5",Really enjoyed the ad and the message of fresh flavors,1,1,2,6,2,2,2,2,,2,2,33.7
155,1,Completed,1,1,3,British Columbia,3,4,3,5,1,2,1,3,2,3,2,1,"BrandX, Pringles, Lays","5, 6","Utz:9, Kettle Brand:6",4,5,8,1,6,1,4,"5, 5, 4, 5, 5, 5","The commercial showed the product in various scenarios, suggesting it's a great snack for parties, movie nights, and quick bites at home. It was quite convincing.",2,1,2,1,5,3,3,1,1,3,1,36.3
262,1,Completed,1,2,2,Prince Edward Island,3,4,5,1,3,3,2,1,2,2,1,1,"Doritos, BrandX","2, 3","Lay's:5, Pringles:7",5,5,10,1,6,1,2,"5, 5, 5, 5, 1, 5",I found it somewhat boring,1,1,3,1,1,2,2,2,,1,3,35
524,1,Completed,1,1,5,Quebec,5,5,1,2,2,2,1,3,2,2,1,0,Ruffles,"2, 5","Lay's:8, Utz:6",4,4,7,,,,,,,,1,2,1,1,2,3,2,,2,3,43.8
